"date","hits"
2022-01-02,1.15384615384615
2022-01-09,1.69230769230769
2022-01-16,1.13333333333333
2022-01-23,1.06666666666667
2022-01-30,1
2022-02-06,1.38461538461538
2022-02-13,1.81818181818182
2022-02-20,1.75
2022-02-27,2.07692307692308
2022-03-06,2.13333333333333
2022-03-13,1.30769230769231
2022-03-20,1.92307692307692
2022-03-27,1.69230769230769
2022-04-03,1.75
2022-04-10,1.83333333333333
2022-04-17,1.76923076923077
2022-04-24,2.07692307692308
2022-05-01,2.06666666666667
2022-05-08,2.38461538461538
2022-05-15,3.73333333333333
2022-05-22,4.06666666666667
2022-05-29,2.26666666666667
2022-06-05,2.26666666666667
2022-06-12,2.15384615384615
2022-06-19,3
2022-06-26,2.41666666666667
2022-07-03,2.25
2022-07-10,2.4
2022-07-17,2.4
2022-07-24,2.4
2022-07-31,2.73333333333333
2022-08-07,6.21428571428571
2022-08-14,4.26666666666667
2022-08-21,3.78571428571429
2022-08-28,4.21428571428571
2022-09-04,4.13333333333333
2022-09-11,6.86666666666667
2022-09-18,4.13333333333333
2022-09-25,3.46666666666667
2022-10-02,5.26666666666667
2022-10-09,15.7857142857143
2022-10-16,31.8
2022-10-23,18.2
2022-10-30,11.4
2022-11-06,2.35714285714286
2022-11-13,2
2022-11-20,1.92307692307692
2022-11-27,2.15384615384615
2022-12-04,3.91666666666667
2022-12-11,2.61538461538462
2022-12-18,2.16666666666667
2022-12-25,1.61538461538462
