"City","Hits"
"Marston Green",100
"Nelson",100
"Uttarpara Kotrung",100
"Napier",98
"Upper Hutt",88
"Invercargill",82
"Porirua",82
"Sutton Coldfield",80
"Halesowen",73.75
"Homewood",73
"Birmingham",72
"Lower Hutt",65
"Medinipur",65
"Palmerston North",65
"Allahabad",63
"Rourkela",63
"Christchurch",62
"Solihull",57.5
"Brahmapur",56
"Hooghly",56
"Vestavia Hills",56
"Dehradun",54
"Greater Noida",54
"Kharagpur",54
"Hamilton",50
"Gandhinagar",49
"Bessemer",46
"Shirley",44.5
"Bhavnagar",44
"Bikaner",44
"Auckland",42
"Vadodara",42
"Wellington",41
"Kota",38
"Bhankrota",36
"Bhiwadi",34
"Dudley",34
"Gola Range",32
"Walsall",29.5
"Swindon",25
"Torquay",22
"Stourbridge",19
"West Bromwich",19
"Wolverhampton",15
"Shifnal",14
"Coventry",13
"Nacholi",11
"Gandhidham",7
"Bracknell",6
"41 Gg",NA
"50 Np",NA
"7 Gmd-B",NA
"A.Reddihalli",NA
"Abbots Bromley",NA
"Aberystwyth",NA
"Abhepur",NA
"Abingdon",NA
"Abu",NA
"Ad-Daẖirah",NA
"Adderbury",NA
"Adenta Municipality",NA
"Agroha",NA
"Agwan Khera",NA
"Ahire",NA
"Ainapur",NA
"Air Itam",NA
"Ajabpur Mangavali",NA
"Ajaib",NA
"Ajaygarh",NA
"Akdauli",NA
"Akhari",NA
"Akodia",NA
"Akot",NA
"Alabaster",NA
"Aliabad",NA
"Alibag",NA
"Allesley",NA
"Almora",NA
"Aloona Tola",NA
"Alui",NA
"Alvechurch",NA
"Amalner",NA
"Ambala Sadar",NA
"Ambepur",NA
"Ambernath",NA
"Ambewadi",NA
"Ambivli",NA
"Ambrosden",NA
"Amlheda",NA
"Amreli",NA
"Anakapalle",NA
"Anand",NA
"Anekal",NA
"Angadi",NA
"Angul",NA
"Anjangaon Kh.",NA
"Ankola",NA
"Anupgarh",NA
"Apharid",NA
"Apia",NA
"Appleby Magna",NA
"Arakkonam",NA
"Arambagh",NA
"Arani",NA
"Araria",NA
"Arcot",NA
"Arga",NA
"Ariyalur",NA
"Arley",NA
"Arniala",NA
"Arua",NA
"Asawali",NA
"Ashapar",NA
"Ashbourne",NA
"Ashburton",NA
"Ashoknagar",NA
"Ashoknagar Kalyangarh",NA
"Ashta",NA
"Ashtead",NA
"Ashville",NA
"Ateli Rural",NA
"Auchterarder",NA
"Aurangabad",NA
"Averupally Agraharam",NA
"Avinashi",NA
"Badali",NA
"Bade Bacheli",NA
"Badebodal",NA
"Badlapur",NA
"Badnawar",NA
"Badshah Nagar",NA
"Bael",NA
"Bagalkot",NA
"Bagdogra",NA
"Baghmara",NA
"Baghpat",NA
"Bahadarpur",NA
"Bahadurgarh",NA
"Bahadurpur Ta. Chau. Ajma",NA
"Bahakabari",NA
"Baidyabati",NA
"Bajeti",NA
"Bajjanahalli",NA
"Bajrang Nagar",NA
"Bakhtiyarpur",NA
"Balaghat",NA
"Balangir",NA
"Balasore",NA
"Balerno",NA
"Balgod",NA
"Balharshah",NA
"Balotra",NA
"Balsall Common",NA
"Balud",NA
"Balurghat",NA
"Ban",NA
"Banahapa",NA
"Banapur",NA
"Banda",NA
"Banjipali",NA
"Banka",NA
"Bankdebipur P",NA
"Banktal",NA
"Banswara",NA
"Baramati",NA
"Barapali Town",NA
"Baraso",NA
"Baraulikhalilabad",NA
"Baraut Rural",NA
"Barbadi",NA
"Barbarya",NA
"Barbil",NA
"Bargarh",NA
"Barhi",NA
"Barhya Buzurg",NA
"Barigodha",NA
"Baripada",NA
"Barkatpur",NA
"Barkot Range",NA
"Barmer",NA
"Barnala",NA
"Barni",NA
"Barrow upon Soar",NA
"Barshi",NA
"Bartestree",NA
"Barwala Rural",NA
"Bas Dooda",NA
"Basirhat",NA
"Batala",NA
"Batemans Bay",NA
"Bathua Buzurg",NA
"Bavla",NA
"Bawal",NA
"Bazida Roran",NA
"Bearsden",NA
"Beawar",NA
"Bedford",NA
"Beechhwal Rural",NA
"Beeford",NA
"Beeston",NA
"Begusarai",NA
"Bekigaon",NA
"Bela Pratapgarh",NA
"Belarkha",NA
"Belo",NA
"Benaulim",NA
"Beraberi",NA
"Berhampore",NA
"Bestari Jaya",NA
"Bethuadahari",NA
"Bethurpara",NA
"Bettiah",NA
"Bewdley",NA
"Bhabat",NA
"Bhadra",NA
"Bhadrak",NA
"Bhadrasahi",NA
"Bhadravati",NA
"Bhadur Hussain",NA
"Bhagabanpur",NA
"Bhaggoo Ka Bas",NA
"Bhaini Chanderpal",NA
"Bhandara",NA
"Bhankharvad",NA
"Bharatpur",NA
"Bharthia",NA
"Bharuch",NA
"Bhatkal",NA
"Bhawanigarh",NA
"Bhawanipatna",NA
"Bhawanipur",NA
"Bhekutya",NA
"Bheri Bazurg",NA
"Bhervi",NA
"Bhilai Charoda",NA
"Bhinmal",NA
"Bhita",NA
"Bhodiakhera",NA
"Bhoipali",NA
"Bhoja Patti",NA
"Bhopalgarh",NA
"Bhota",NA
"Bhotokauria",NA
